Company,Post #,Date (UTC),Title (first line of post),Reactions,Comments,Reposts,Total engagement,Post type,Posted by,Post URL,Company page
Continia Software,1,2026-09-14 11:45,"𝟮𝟬𝟮𝟲 𝗥𝟮 𝗶𝘀 𝗮𝗹𝗺𝗼𝘀𝘁 𝗵𝗲𝗿𝗲, 𝗮𝗻𝗱 𝗶𝘁'𝘀 𝗼𝘂𝗿 𝗯𝗶𝗴𝗴𝗲𝘀𝘁 𝗔𝗜 𝗿𝗲𝗹𝗲𝗮𝘀𝗲 𝘆𝗲𝘁 🚀",43,0,7,50,Document/Carousel (PDF),Continia Software,https://www.linkedin.com/feed/update/urn:li:activity:7505230135697199104/,https://www.linkedin.com/company/continia-software-a-s/posts/
Continia Software,2,2026-09-11 08:18,𝗝𝗼𝗶𝗻 𝘂𝘀 𝗳𝗼𝗿 𝗮 𝗺𝗼𝗿𝗻𝗶𝗻𝗴 𝗿𝘂𝗻 𝘁𝗵𝗿𝗼𝘂𝗴𝗵 𝗣𝗮𝗿𝗶𝘀! 🏃‍♀️‍➡️,56,0,2,58,Image,Continia Software,https://www.linkedin.com/feed/update/urn:li:activity:7504091003386171392/,https://www.linkedin.com/company/continia-software-a-s/posts/
Continia Software,3,2026-09-04 09:07,"𝗧𝗵𝗮𝗻𝗸 𝘆𝗼𝘂, 𝗗𝗮𝘆𝘀 𝗼𝗳 𝗞𝗻𝗼𝘄𝗹𝗲𝗱𝗴𝗲 𝗔𝗡𝗭 💡",91,0,0,91,Multi-image (4),Continia Software,https://www.linkedin.com/feed/update/urn:li:activity:7501566572784771072/,https://www.linkedin.com/company/continia-software-a-s/posts/
Continia Software,4,2026-09-01 12:00,𝗣𝗿𝗼𝘁𝗲𝗰𝘁𝗶𝗻𝗴 𝘁𝗵𝗲 𝘄𝗼𝗿𝗹𝗱'𝘀 𝘄𝗮𝘁𝗲𝗿 𝘀𝗵𝗼𝘂𝗹𝗱𝗻'𝘁 𝗺𝗲𝗮𝗻 𝗱𝗿𝗼𝘄𝗻𝗶𝗻𝗴 𝗶𝗻 𝗽𝗮𝗽𝗲𝗿𝘄𝗼𝗿𝗸 🌊,18,0,2,20,Image,Continia Software,https://www.linkedin.com/feed/update/urn:li:activity:7500522912907460608/,https://www.linkedin.com/company/continia-software-a-s/posts/
Continia Software,5,2026-08-27 12:13,𝗜𝘁'𝘀 𝗮𝗯𝗼𝘂𝘁 𝘁𝗶𝗺𝗲... 𝘄𝗲 𝗳𝗼𝘂𝗻𝗱 𝗼𝘂𝘁 𝘄𝗵𝗼'𝘀 𝗳𝗮𝘀𝘁𝗲𝗿🏃‍♀️,99,0,0,99,Multi-image (4),Continia Software,https://www.linkedin.com/feed/update/urn:li:activity:7498714244956303360/,https://www.linkedin.com/company/continia-software-a-s/posts/
Continia Software,6,2026-08-21 10:34,"𝗖𝗼𝗹𝗹𝗲𝗮𝗴𝘂𝗲𝘀, 𝘃𝗶𝗻𝗲𝘆𝗮𝗿𝗱𝘀, 𝗮𝗻𝗱 𝗮 𝗴𝗹𝗮𝘀𝘀 (𝗼𝗿 𝘁𝘄𝗼) 𝗼𝗳 𝘄𝗶𝗻𝗲 🍷",82,2,0,84,Multi-image (4),Continia Software,https://www.linkedin.com/feed/update/urn:li:activity:7496515169880023040/,https://www.linkedin.com/company/continia-software-a-s/posts/
Continia Software,7,2026-08-18 12:00,𝗜𝘁'𝘀 𝗮𝗯𝗼𝘂𝘁 𝘁𝗶𝗺𝗲 𝘆𝗼𝘂 𝘀𝘁𝗼𝗽𝗽𝗲𝗱 𝗱𝗼𝗶𝗻𝗴 𝘁𝗵𝗲𝘀𝗲 𝟱 𝘁𝗵𝗶𝗻𝗴𝘀 ⏳,36,2,1,39,Document/Carousel (PDF),Continia Software,https://www.linkedin.com/feed/update/urn:li:activity:7495449544915226624/,https://www.linkedin.com/company/continia-software-a-s/posts/
Continia Software,8,2026-08-12 12:08,𝟭𝟮 𝗳𝗿𝗲𝗲 𝗳𝗲𝗮𝘁𝘂𝗿𝗲𝘀 𝘆𝗼𝘂𝗿 𝗕𝘂𝘀𝗶𝗻𝗲𝘀𝘀 𝗖𝗲𝗻𝘁𝗿𝗮𝗹 𝘀𝗲𝘁𝘂𝗽 𝗶𝘀 𝗺𝗶𝘀𝘀𝗶𝗻𝗴 👀,41,0,5,46,Document/Carousel (PDF),Continia Software,https://www.linkedin.com/feed/update/urn:li:activity:7493277173751951360/,https://www.linkedin.com/company/continia-software-a-s/posts/
Continia Software,9,2026-08-06 11:55,𝗪𝗲'𝘃𝗲 𝗴𝗼𝘁 𝗿𝗼𝗼𝗺 𝗹𝗲𝗳𝘁 𝗼𝗻 𝘁𝗵𝗲 𝘁𝗲𝗮𝗺! 👩‍💼,34,0,4,38,Document/Carousel (PDF),Continia Software,https://www.linkedin.com/feed/update/urn:li:activity:7491099509893156864/,https://www.linkedin.com/company/continia-software-a-s/posts/
Continia Software,10,2026-08-04 12:00,𝗬𝗼𝘂𝗿 𝗲-𝗶𝗻𝘃𝗼𝗶𝗰𝗶𝗻𝗴 𝗱𝗮𝘁𝗮 𝗶𝘀 𝗼𝗻𝗹𝘆 𝗮𝘀 𝘀𝗮𝗳𝗲 𝗮𝘀 𝘆𝗼𝘂𝗿 𝘃𝗲𝗻𝗱𝗼𝗿,28,0,3,31,Image,Continia Software,https://www.linkedin.com/feed/update/urn:li:activity:7490376084551577602/,https://www.linkedin.com/company/continia-software-a-s/posts/
Continia Software,11,2026-07-30 12:00,𝗘𝘃𝗲𝗿𝘆 𝗔𝗣 𝗮𝘂𝘁𝗼𝗺𝗮𝘁𝗶𝗼𝗻 𝗽𝗶𝘁𝗰𝗵 𝘁𝗵𝗶𝘀 𝘆𝗲𝗮𝗿 𝘀𝗼𝘂𝗻𝗱𝘀 𝘁𝗵𝗲 𝘀𝗮𝗺𝗲... 👀,21,0,2,23,Image,Continia Software,https://www.linkedin.com/feed/update/urn:li:activity:7488564108284473345/,https://www.linkedin.com/company/continia-software-a-s/posts/
