==============================================================================================================
LINKEDIN COMPANY POSTS - COMPETITIVE SNAPSHOT
Captured: 2026-09-09 (Europe/Copenhagen) | Source: LinkedIn company 'Posts' tab, view = All
Up to 50 most recent posts per company (fewer where the page had fewer).

Columns:  #  |  AGE (relative, as LinkedIn showed it)  |  TYPE  |  REACTIONS  |  COMMENTS  |  REPOSTS  |  TITLE
TITLE = opening line of the post copy, truncated (LinkedIn posts have no formal title field).
TYPE   = Image, Multi-image, Carousel (PDF/document swipe), Video, Poll, Event, Link/Article, Text, Repost
==============================================================================================================

SUMMARY - ENGAGEMENT ACROSS CAPTURED POSTS
--------------------------------------------------------------------------------------------------------------
COMPANY                                     POSTS  REACTIONS  COMMENTS  REPOSTS  AVG/POST
Stripe                                         50      19127      1445     1318     437.8
Incedo Inc                                     50       4679       128      103      98.2
Continia Software A/S                          50       3562        91      124      75.5
Yavrio                                         50       3073       315       65      69.1
SignUp Software                                50       2301        60      312      53.5
Stampli                                        50       1388        46      382      36.3
Truvio                                         50       1350        34      162      30.9
Medius                                         50       1370        31      136      30.7
Rillion                                        50       1300       138       95      30.7
Tipalti                                        50       1301        52       50      28.1
Qvalia                                         15        313        15       38      24.4
Dooap                                          50       1015        72       89      23.5
AMC Banking                                    22        287        12       16      14.3
B2Brouter                                      50        425        37       79      10.8
Equisys (Zetadocs)                             39        168         1       85       6.5
Fidesic                                        50        253        32       21       6.1
--------------------------------------------------------------------------------------------------------------


==============================================================================================================
POST-BY-POST DETAIL
==============================================================================================================

--------------------------------------------------------------------------------------------------------------
TRUVIO
https://www.linkedin.com/company/truvio-official/
Posts captured: 50   |   Total reactions: 1350   Comments: 34   Reposts: 162   |   Avg engagement/post: 30.9
--------------------------------------------------------------------------------------------------------------
  #  AGE   TYPE           REAC  COMM   REP  TITLE
  1  1h    Multi-image      21     0     0  Today, developers from across our partner community have taken over Aarhus for the...
  2  1d    Image            16     0     2  En hel dag væk fra indbakken skal være tiden værd. Derfor har vi sammen med...
  3  2d    Image            22     1     5  For St Vincent de Paul Society NSW, modernising Accounts Payable meant more than...
  4  6d    Multi-image      22     0     5  Day 1 at Days of Knowledge - ANZ is well underway! We’ve just wrapped up our...
  5  1w    Image            13     0     2  Your AP dashboard might say “automated.” Your AP team might tell a different story....
  6  1w    Image            16     0     2  Remember when waiting was just part of the process? Waiting on approvals. Tracking...
  7  1w    Image            13     0     1  How do you manage more than 200,000 products across your own webshop and a growing...
  8  1w    Image            11     0     1  November 14, 2026. From that date, SWIFT CBPR+ will no longer accept cross-border...
  9  6d    Multi-image      66     4     2  Great start to Days of Knowledge ANZ! Today, David Williams, GAICD. and I had the...
 10  1w    Image            10     2     0  B2B-kunder begynder ikke nødvendigvis deres købsrejse på jeres webshop. De søger...
 11  1w    Image            35     2     6  Invoice capture is only one part of accounts payable automation. What happens when...
 12  2w    Multi-image      78     0     1  Running, walking and cheering each other on. This week, colleagues from our...
 13  1w    Video            16     0     3  4 minutes versus 17 minutes per invoice. That was the difference measured between...
 14  2w    Image            15     0     3  One last conversation before we officially close out summer. We’re wrapping up...
 15  2w    Image            15     0     1  AI er allerede ved at ændre den måde, B2B-kunder finder, sammenligner og vælger...
 16  2w    Image            17     0     5  The Commerce Product Brief is already next week. Our Product Managers are putting...
 17  3w    Image            16     0     3  Nine steps. Zero manual touchpoints. That’s what an automated payment lifecycle in...
 18  3w    Image            19     0     4  A little sneak peek at what’s coming next to Truvio Talks... We’re not done with...
 19  3w    Image            18     0     0  When you're in the middle of a complex ERP transformation, a smooth implementation...
 20  3w    Image            22     0     1  Vi glæder os til at være med, når Computerworld Events sætter fokus på vejen videre...
 21  3w    Image            27     0     2  Hylke Britstra is taking the stage at Directions for Enterprise 2026 in Copenhagen....
 22  3w    Image            16     0     5  Summer isn’t over yet, and neither is your chance to win! The Truvio Talks Summer...
 23  1mo   Event            11     0     4  Ready to shorten your order-to-cash cycle? Join us on August 13th to see how the...
 24  3w    Image            19     0     3  We’re excited to share that Truvio is a Gold Sponsor at Days of Knowledge - ANZ...
 25  3w    Image            26     0     5  Manual payments cost more than money. Every file upload, spreadsheet update, and...
 26  1mo   Event            20     0     9  Finance teams shouldn't have to spend their day chasing information. When...
