snapshot_date,snapshot_index,name,owner,stance,short_label,proximity,category,headline,release,strategy,positioning,ai,scale,website,sources
2026-09-10,0,ExFlow,Truvio (formerly SignUp Software) · Stockholm,cons,Rebranded → Truvio + AI,High,AP automation · D365 F&O + BC,"Rebrand to Truvio complete — ExFlow, Axtension, DynamicWeb and SKsoft unified into one Microsoft-native portfolio, now shipping its own AI.","Jan 21, 2026: launched the unified Truvio platform — ExFlow, Axtension, DynamicWeb and SKsoft consolidated into a single D365-native suite spanning finance automation, operations/project execution, commerce and governed workflows. June 2026: AP Automation (powered by ExFlow) 2.19.0 for D365 F&O adds “TruvioSense Coding & Approval” — AI/LLM coding suggestions learned from previously approved invoices.","Rebranded SignUp Software → Truvio and merged four product brands into one portfolio aimed at the “ERP value gap” — automation and practitioner know-how embedded in D365 after go-live, not just AP. CEO Joakim Alm; ownership unchanged by the rebrand.",Fully embedded/native in Dynamics — no third-party system.,TruvioSense adds LLM-based invoice interpretation + coding suggestions on top of the existing ML Predictions.,"400+ employees · 8 countries · 5,000+ customers · 300+ partners",https://truvio.com/,Unified platform (Jan 2026) (https://truvio.com/company/truvio-launches-unified-platform-for-dynamics-365); Truvio: What's New (https://truvio.com/whats-new); Rebrand (https://enterprisesoftwareexpress.com/signup-software-signs-up-for-a-new-name/); Release notes (https://docs.signupsoftware.com/finance-operations/docs/user-manual/whats-new-and-planned/release-notes)
2026-09-10,0,Dooap,Dooap · Austin + Helsinki,ai,AI-aggressive,High,AP automation · D365 Finance (F&O),"Launched a dedicated agentic AI product — the most offensive AI move in the space, from the smallest team on this list.","Dooap Studio, May 11 2026 — AP teams design and govern their own AI agents without IT. Jul 2026: went live on Microsoft Marketplace (deployable directly for D365 Finance customers); Aug 18 2026: launched dooapstudio.ai, a standalone agentic-AP site that auto-publishes its own release notes with human approval.","Agents for GL coding, PO matching, fraud and routing — with rationale, confidence score and audit trail. A ~25-person team punching above its weight by shipping product rather than buying it.","Mobile-first, cloud-native — message: “AI you control.”","A standalone agent product, not just AI features.",~25 employees · Microsoft Certified Software (Sep 2025) · on Microsoft Marketplace,https://www.dooap.com/,Dooap Studio (PR) (https://www.prnewswire.com/news-releases/dooap-inc-launches-dooap-studio-putting-agentic-ap-automation-directly-in-the-hands-of-finance-teams-302768534.html); Studio on Marketplace (https://www.dooap.com/blog/dooap-studio-is-now-live-in-microsoft-marketplace); dooapstudio.ai (https://www.dooap.com/blog/dooap-launches-dooapstudio.ai-for-agentic-ap-on-microsoft-d365)
2026-09-10,0,Zetadocs,Equisys · London,steady,Stable cadence,High,Delivery · Capture · Expenses · BC,Consistent monthly release cadence; AI embedded in the core rather than big announcements.,"Delivery & Capture updated Jan, Mar, May and Jul 2026 (Jul: captures extra vendor-invoice fields + smarter line-to-account learning); Expenses May 2026 (cloud, browser, iOS, Android). The cadence has not slipped — the Jul 31, 2026 update landed on schedule.","Three product lines kept in sync at a high release cadence, delivered by a small London team rather than a PE roll-up.","Everything happens inside Business Central — one environment, less friction.",AI-driven data entry + automatic order/invoice matching.,51–200 employees · London · 3 product lines (Delivery · Capture · Expenses),https://www.equisys.com/,Equisys (https://www.equisys.com/); Jul 2026 update (https://www.equisys.com/blog/whats-new-in-zetadocs-delivery-and-zetadocs-capture-june-2026-update); May 2026 update (https://www.equisys.com/blog/whats-new-in-zetadocs-expenses-may-2026-update); Equisys blog (https://www.equisys.com/blog)
2026-09-10,0,Medius,Medius · Linköping (Marlin Equity),ai,Gartner MQ Leader · in play,Medium,AP automation + spend/payments · multi-ERP,Analyst-anointed AP leader — 2026 Gartner Magic Quadrant Leader — and now reportedly up for sale at ~$2B.,"Named a Leader in the 2026 Gartner Magic Quadrant for Accounts Payable Applications (Jun 23, 2026); also Ardent Partners 2026 Market Leader + Elite Performer for AI Innovation.","Owner Marlin Equity (since 2017) is weighing a sale at a ~$2B valuation with Evercore mandated — reported Oct 7, 2025, with a formal process possibly starting in 2026; Advent holds a minority stake from 2022. A new owner would reset the roadmap for the closest thing to a category leader.",“Autonomous AP” — the finance team stays in control; own models rather than expensive LLMs for core work.,"SmartFlow (proprietary CNN), Medius Copilot, Supplier Conversations (autonomous email handling), “AI workmate” — claims most of the AP/payments lifecycle automated.","750 employees · 4,000+ customers · 102 countries · $200B spend/year",https://www.medius.com/,Gartner MQ 2026 (Medius) (https://www.prnewswire.com/news-releases/medius-placed-in-2026-gartner-magic-quadrant-for-accounts-payable-applications-302807993.html); $2B sale weighed (PYMNTS) (https://www.pymnts.com/cpi-posts/marlin-equity-weighs-2-billion-sale-of-swedish-software-firm-medius/); Evercore mandate (https://www.mainsights.io/ma-news/marlin-equity-partners-has-engaged-evercore-to-advise-on-a-potential-sale-of-accounting-software-provider-medius); Medius AI advantage (https://www.medius.com/ai-innovation/medius-ai-advantage/); Ardent 2026 (https://www.medius.com/resources/guides-reports/2026-ap-automation-payments-technology-advisor/)
2026-09-10,0,Tipalti,Tipalti · Foster City,ai,AI + capital · pre-IPO,Low,Payables + global payments + procurement + expenses,"Raised $200M for AI, passed $200M ARR, and says an IPO — not a sale — is the likely end state.","AI Assistant + AI agents (Invoice Capture, Bill Approvers, reporting, tax, purchase request); tariff-refund AI (Apr 2026).","$200M round (Hercules, autumn 2025) earmarked for AI; agentic focus. Jun 2026: ARR topped $200M and the company signalled a public offering as its most likely path (over acquisition), targeting sustained profitability by early 2027.",End-to-end payables + global payments in 200+ countries.,Conversational assistant + autonomous agents embedded across the entire platform.,"~1,000+ employees · $200M+ ARR · ~$90B payments/year · 6,500 customers",https://tipalti.com/,Tipalti AI agents (https://tipalti.com/accounts-payable-software/finance-ai/); American Banker (https://www.americanbanker.com/payments/news/tipalti-enhances-ai-tech-to-improve-tariff-refund-processing); IPO signal (Payments Dive) (https://www.paymentsdive.com/news/tipalti-counts-on-future-ipo-ai-finance-automation-software/823594/)
2026-09-10,0,Yooz,"Yooz · Aimargues, France",ai,AI + fraud,Medium,AP / P2P automation · multi-ERP,"French-headquartered AI/Deep Learning P2P with a strong fraud focus; active in the BC and GP ecosystem — and now past 7,000 customers on record platform volume.","Sept 2, 2026: passes 7,000 customers / 600,000 users (300M+ documents, 50+ countries) after a record-volume June; the same update adds line-level PO matching, vendor-statement automation, an automatic invoice fetcher and intelligent GL allocations. Earlier: YoozProtect (fraud, NA launch Jan 2026); Yooz 2026 AI in Finance report.","AI + RPA + Big Data; fraud prevention as spearhead, now pushing “explainable” automation and growth in transaction-heavy verticals (automotive, trucking, construction, manufacturing, hospitality) via CDK and Epicor integrations. HQ in Aimargues (FR) with a US base in Dallas.","Simple, fast, secure cloud P2P; unlimited users.","Smart data extraction, routing and fraud detection; line-level PO matching and GL allocation suggestions.","~500 employees · 7,000+ customers · 600,000 users · 50+ countries",https://www.getyooz.com/,"7,000 customers (Sept 2, 2026) (https://www.globenewswire.com/news-release/2026/09/02/3355285/0/en/yooz-surpasses-7-000-customers-worldwide-as-platform-usage-hits-record-high.html); Yooz (https://www.getyooz.com/); YoozProtect (https://www.getyooz.com/blog/yooz-protect-launch); Yooz + BC/GP (https://msdynamicsworld.com/blog/two-days-two-erps-how-yooz-powering-ap-automation-gp-and-business-central)"
2026-09-10,0,Stampli,Stampli · Mountain View,ai,AI veteran,Low,AP automation (invoice-centric) · 70+ ERPs,"AI (“Billy the Bot”) at the core for nearly 10 years; $148M raised, Blackstone on the cap table, and 400,000 invoices a week through the platform.","Stampli Deep Finance (Mar 2026) turns invoice data into consultant-grade executive spend intelligence; Stampli Card / Direct Pay; $61M Blackstone Series D (~$148M total); named a G2 Summer 2026 Leader for P2P + AP Automation (Jun 17, 2026) with an AP satisfaction score of 99.","Invoice-centric communication + “AI employee”, monetised sideways into cards and payments rather than a new vertical.","Fast implementation (weeks, not months); approvers need no ERP access.","Positions itself on “proven” AI for capture, coding, routing, duplicates and fraud.","309 employees · 1,800+ customers · 400,000+ invoices/week · $390B cumulative spend · $148M raised",https://www.stampli.com/,Stampli AP (https://www.stampli.com/ap-automation/); Deep Finance (https://www.prnewswire.com/news-releases/stampli-launches-deep-finance-turning-invoice-data-into-executive-spend-intelligence-302729234.html); Blackstone funding (https://financialit.net/news/fundraising-news/stampli-secures-61m-advanced-ai-powered-ap-automation)
2026-09-10,0,AvidXchange,TPG + Corpay · Charlotte,cons,Taken private (payments),Low,AP + payment automation · mid-market,Taken private by TPG + Corpay at $2.2B / $10.00 per share — pointing squarely at payment rails.,Launched Payment Automation for Workday on the Workday Marketplace (Jun 2026); new COO Wade Fairey (Jun 2026); AI fraud/BEC detection in the AvidPay network.,"Take-private closed Oct 15, 2025 ($2.2B, $10.00/share); Corpay paid ~$550M for a 34% stake with an option on the remainder in 2028 — so the endgame is Corpay owning the payment volume outright.","Mid-market invoice-to-pay + the AvidPay payment network (8,500+ businesses paying 1,350,000+ suppliers).",AI for fraud/anomaly detection; later on the AI curve than the pure AI players.,"~1,580 employees (Dec 2025) · ~$450M revenue · 8,500+ buyers · 1.35M+ suppliers",https://www.avidxchange.com/,TPG/Corpay close (https://www.avidxchange.com/press-releases/tpg-corpay-complete-acquisition-of-avidxchange/); Workday integration (https://www.globenewswire.com/news-release/2026/06/09/3309047/37161/en/AvidXchange-Completes-Workday-Integration.html); Payments Dive (https://www.paymentsdive.com/news/avidxchange-tpg-corpay-accounts-payable-payments/747520/); Headcount (Revelio) (https://www.reveliolabs.com/companies/avidxchange/employees/)
2026-09-10,0,Compleat,"Compleat Software · Sheffield, UK",steady,SMB / price,Low,P2P / AP automation + online buying,"Affordable P2P for smaller businesses; UK/EMEA focus, not Dynamics-first — a 45-person operation, not a platform play.","Capture + approval workflows + online buying; integration with Sage, Xero, QuickBooks. Distribution partnership with Advanced covers the UK, USA and Australia.","Affordable SaaS for all sizes; procurement + AP combined, sold largely through accounting-software partners rather than direct enterprise sales.","Cheap, simple access (subscription from a low price point).",AI-OCR for capture/coding — significantly less AI marketing than the big players.,~45 employees · Sheffield HQ · ~$17M revenue · 500+ companies,https://www.compleatsoftware.com/,Compleat Software (https://www.compleatsoftware.com/); Zone&Co 2026 (https://www.zoneandco.com/articles/top-16-ap-automation-software-solutions-in-2026); Capterra (https://www.capterra.com/p/88208/Compleat-Purchase-to-Pay/)
2026-09-10,0,Tungsten Automation,formerly Kofax · Irvine (Clearlake/TA),ai,AI catch-up · debt talks,Low,IDP / RPA + AP (InvoiceAgility),Rebranded from Kofax and betting hard on agentic AI — while its lenders sit down to talk about restructuring the debt.,"TotalAgility now GA in three tiers (Standard/Advanced/Enterprise) with agentic AI, Quick AI Agents and multi-agent orchestration; quarterly releases from 2026; InvoiceAgility for AP.","Jan 2026: new executives incl. the company’s first Chief AI Officer, with a Chief Product Officer added mid-2026; “AI-first” repositioning. CEO signalled a possible 2027 exit (PE or strategic sale) as the sector consolidates (Jun 2026). Jul 1, 2026: lenders signed a cooperation pact to negotiate a possible debt restructuring ahead of ~$150M maturities, with Simpson Thacher and Evercore engaged — the balance sheet, not the product, is now the story.",Broad intelligent automation (document/workflow) on a large IDP revenue base — the incumbent being squeezed from both ends.,Agentic AI now shipping (multi-agent orchestration); analysts said it was 9–12 months behind — now closing the gap.,"~2,200 employees · $500M–1B revenue (~90% recurring) · 70+ countries · ~40 years",https://www.tungstenautomation.com/,TotalAgility platform (https://www.tungstenautomation.com/products/totalagility/release-highlights); Agentic AI hires (https://www.tungstenautomation.com/about/press-releases/2026/tungsten-automation-invests-in-innovation-and-agentic-ai-with-key-executive-hires); Deep Analysis (https://www.deep-analysis.net/boring-ai-how-tungsten-plans-to-move-beyond-its-idp-roots/); Exit signal (ION) (https://ionanalytics.com/insights/mergermarket/tungsten-automation-exit-possible-in-2027-as-buyer-appetite-builds-ceo/); Lenders’ pact (Bloomberg) (https://www.bloomberg.com/news/articles/2026-07-01/lenders-to-clearlake-backed-tungsten-sign-pact-after-debt-slides)
