Company,Post #,Date (UTC),Title (first line of post),Reactions,Comments,Reposts,Total engagement,Post type,Posted by,Post URL,Company page
Truvio,1,2026-09-16 08:45,"When production planning involves up to 22,000 orders per month at a single plant, having a clear overview makes a real difference.",7,0,3,10,Image,Truvio,https://www.linkedin.com/feed/update/urn:li:activity:7505909696629837826/,https://www.linkedin.com/company/truvio-official/posts/?feedView=all
Truvio,2,2026-09-15 08:00,The Digital Product Passport is becoming a reality for companies selling products in the EU. But DPP is about more than compliance.,16,0,3,19,Image,Truvio,https://www.linkedin.com/feed/update/urn:li:activity:7505535913612050432/,https://www.linkedin.com/company/truvio-official/posts/?feedView=all
Truvio,3,2026-09-14 14:00,"Join us for the Ole Red Round Up, a fun Nashville-style Summit after party designed for networking, connecting with fellow Dynamics professionals, and celebrating the Summit commun",0,0,0,0,Event,Truvio,https://www.linkedin.com/feed/update/urn:li:activity:7505264294301814784/,https://www.linkedin.com/company/truvio-official/posts/?feedView=all
Truvio,4,2026-09-14 09:16,That's a wrap on Commerce Partner Days 2026. 🎉,0,0,0,0,Multi-image (4),Truvio,https://www.linkedin.com/feed/update/urn:li:activity:7505192846690373632/,https://www.linkedin.com/company/truvio-official/posts/?feedView=all
Truvio,5,2026-09-11 19:24,"Most B2B self-service portals fail on data, not design: when buyers see list price instead of their contract price, or ""call for availability"" instead of real stock, they pick up t",0,0,0,0,Event,Truvio,https://www.linkedin.com/feed/update/urn:li:activity:7504258627315335168/,https://www.linkedin.com/company/truvio-official/posts/?feedView=all
Truvio,6,2026-09-10 13:55,A fantastic start to Commerce Partner Days 2026!,0,0,0,0,Multi-image (6),Truvio,https://www.linkedin.com/feed/update/urn:li:activity:7503813317400936448/,https://www.linkedin.com/company/truvio-official/posts/?feedView=all
Truvio,7,2026-09-09 11:32,"Today, developers from across our partner community have taken over Aarhus for the Extended Day of Commerce Partner Days 2026.",0,0,0,0,Multi-image (7),Truvio,https://www.linkedin.com/feed/update/urn:li:activity:7503415053665099776/,https://www.linkedin.com/company/truvio-official/posts/?feedView=all
Truvio,8,2026-09-08 07:40,En hel dag væk fra indbakken skal være tiden værd.,21,0,2,23,Image,Truvio,https://www.linkedin.com/feed/update/urn:li:activity:7502994197914923008/,https://www.linkedin.com/company/truvio-official/posts/?feedView=all
Truvio,9,2026-09-07 05:00,"For St Vincent de Paul Society NSW, modernising Accounts Payable meant more than replacing manual data entry.",26,1,6,33,Image,Truvio,https://www.linkedin.com/feed/update/urn:li:activity:7502591635537555456/,https://www.linkedin.com/company/truvio-official/posts/?feedView=all
Truvio,10,2026-09-04 11:17,📍 See you in Nashville this October?,0,0,0,0,Text,Truvio,https://www.linkedin.com/feed/update/urn:li:activity:7501599238544351232/,https://www.linkedin.com/company/truvio-official/posts/?feedView=all
Truvio,11,2026-09-04 00:32,What an energising few days for the Truvio team at Days of Knowledge ANZ! From insightful conversations to new connections across the Microsoft Dynamics 365 Business Central commun,61,4,2,67,Image,Truvio,https://www.linkedin.com/feed/update/urn:li:activity:7501436968182894592/,https://www.linkedin.com/company/truvio-official/posts/?feedView=all
Truvio,12,2026-09-03 08:42,"Great start to Days of Knowledge ANZ!Today, David Williams, GAICD. and I had the opportunity to discuss how Business Central partners can move the AP automation conversation beyond",0,0,0,0,Multi-image (4),Ari Liukko,https://www.linkedin.com/feed/update/urn:li:activity:7501197893987368961/,https://www.linkedin.com/company/truvio-official/posts/?feedView=all
Truvio,13,2026-09-03 03:14,Day 1 at Days of Knowledge - ANZ is well underway!,0,0,0,0,Multi-image (3),Truvio,https://www.linkedin.com/feed/update/urn:li:activity:7501115371299495936/,https://www.linkedin.com/company/truvio-official/posts/?feedView=all
Truvio,14,2026-09-02 08:01,Your AP dashboard might say “automated.” Your AP team might tell a different story.,16,0,2,18,Image,Truvio,https://www.linkedin.com/feed/update/urn:li:activity:7500825109536894976/,https://www.linkedin.com/company/truvio-official/posts/?feedView=all
Truvio,15,2026-09-01 18:06,Remember when waiting was just part of the process?,18,0,2,20,Image,Truvio,https://www.linkedin.com/feed/update/urn:li:activity:7500615198873985024/,https://www.linkedin.com/company/truvio-official/posts/?feedView=all
Truvio,16,2026-09-01 07:30,"How do you manage more than 200,000 products across your own webshop and a growing network of partner shops?",15,0,1,16,Image,Truvio,https://www.linkedin.com/feed/update/urn:li:activity:7500454932307681280/,https://www.linkedin.com/company/truvio-official/posts/?feedView=all
Truvio,17,2026-08-31 08:47,"November 14, 2026. From that date, SWIFT CBPR+ will no longer accept cross-border payment messages containing fully unstructured postal addresses. If the required address data is n",12,0,1,13,Image,Truvio,https://www.linkedin.com/feed/update/urn:li:activity:7500112134568058880/,https://www.linkedin.com/company/truvio-official/posts/?feedView=all
Truvio,18,2026-08-28 07:02,4 minutes versus 17 minutes per invoice.,0,0,0,0,Video,Truvio,https://www.linkedin.com/feed/update/urn:li:activity:7498998431638556673/,https://www.linkedin.com/company/truvio-official/posts/?feedView=all
Truvio,19,2026-08-27 07:30,B2B-kunder begynder ikke nødvendigvis deres købsrejse på jeres webshop.,10,2,0,12,Image,Truvio,https://www.linkedin.com/feed/update/urn:li:activity:7498643056674402304/,https://www.linkedin.com/company/truvio-official/posts/?feedView=all
